FID IID
1182369 1182369
1184932 1184932
1185556 1185556
1186428 1186428
1186935 1186935
1191139 1191139
1192444 1192444
1193141 1193141
1193530 1193530
1194802 1194802
1195770 1195770
1196041 1196041
1196762 1196762
1197211 1197211
1199194 1199194
1199676 1199676
1199724 1199724
1202801 1202801
1203172 1203172
1203434 1203434
1205543 1205543
1206225 1206225
1206468 1206468
1207021 1207021
1207372 1207372
1207637 1207637
1208035 1208035
1210300 1210300
1210831 1210831
1212305 1212305
1214440 1214440
1215076 1215076
1215302 1215302
1215337 1215337
1216269 1216269
1216405 1216405
1216477 1216477
1217446 1217446
1217768 1217768
1219071 1219071
1220890 1220890
1222145 1222145
1222438 1222438
1223603 1223603
1223878 1223878
1224831 1224831
1226483 1226483
1228037 1228037
1235310 1235310
1235522 1235522
1236322 1236322
1236631 1236631
1237568 1237568
1238976 1238976
1239817 1239817
1240558 1240558
1242418 1242418
1242521 1242521
1244559 1244559
1251178 1251178
1253040 1253040
1253460 1253460
1253552 1253552
1254368 1254368
1255058 1255058
1256194 1256194
1256521 1256521
1257507 1257507
1259877 1259877
1260528 1260528
1261215 1261215
1262168 1262168
1262573 1262573
1266807 1266807
1266906 1266906
1267047 1267047
1268775 1268775
1270171 1270171
1274413 1274413
1275475 1275475
1276853 1276853
1277447 1277447
1277748 1277748
1278319 1278319
1279482 1279482
1284909 1284909
1285621 1285621
1285741 1285741
1286334 1286334
1289194 1289194
1291275 1291275
1293035 1293035
1293318 1293318
1293347 1293347
1295128 1295128
1296098 1296098
1296160 1296160
1296444 1296444
1296969 1296969
1300375 1300375
1300896 1300896
1301999 1301999
1302836 1302836
1302855 1302855
1303857 1303857
1306198 1306198
1306601 1306601
1308744 1308744
1308986 1308986
1309662 1309662
1310777 1310777
1312516 1312516
1312844 1312844
1313534 1313534
1314874 1314874
1317117 1317117
1317659 1317659
1318213 1318213
1318441 1318441
1320582 1320582
1321195 1321195
1323280 1323280
1323343 1323343
1324229 1324229
1326685 1326685
1326870 1326870
1329011 1329011
1329105 1329105
1330238 1330238
1334659 1334659
1335621 1335621
1336898 1336898
1338657 1338657
1339306 1339306
1341620 1341620
1344198 1344198
1346742 1346742
1348669 1348669
1349561 1349561
1350208 1350208
1350294 1350294
1351682 1351682
1353544 1353544
1357567 1357567
1359896 1359896
1360027 1360027
1360136 1360136
1360837 1360837
1360909 1360909
1363145 1363145
1363786 1363786
1368506 1368506
1368918 1368918
1373440 1373440
1373613 1373613
1374898 1374898
1376556 1376556
1377072 1377072
1377213 1377213
1380078 1380078
1380293 1380293
1380457 1380457
1382631 1382631
1387996 1387996
1390736 1390736
1390984 1390984
1391979 1391979
1393451 1393451
1394008 1394008
1394643 1394643
1395053 1395053
1400431 1400431
1400863 1400863
1401246 1401246
1402176 1402176
1403539 1403539
1405298 1405298
1405731 1405731
1406227 1406227
1407962 1407962
1408942 1408942
1414649 1414649
1414651 1414651
1415191 1415191
1415241 1415241
1416823 1416823
1418884 1418884
1419492 1419492
1420673 1420673
1421268 1421268
1421309 1421309
1421608 1421608
1421750 1421750
1431079 1431079
1431265 1431265
1432700 1432700
1433849 1433849
1435224 1435224
1439727 1439727
1440080 1440080
1440505 1440505
1441312 1441312
1441982 1441982
1442740 1442740
1443531 1443531
1446975 1446975
1447927 1447927
1449276 1449276
1449486 1449486
1449660 1449660
1454311 1454311
1455146 1455146
1456124 1456124
1458503 1458503
1460225 1460225
1460828 1460828
1460994 1460994
1462043 1462043
1462432 1462432
1463683 1463683
1464221 1464221
1465483 1465483
1465741 1465741
1467977 1467977
1470309 1470309
1471882 1471882
1471903 1471903
1472949 1472949
1474211 1474211
1474775 1474775
1474825 1474825
1475959 1475959
1477264 1477264
1478783 1478783
1479053 1479053
1481084 1481084
1482855 1482855
1483463 1483463
1483730 1483730
1485017 1485017
1489659 1489659
1491367 1491367
1491723 1491723
1492632 1492632
1493938 1493938
1494482 1494482
1495003 1495003
1497142 1497142
1497753 1497753
1498984 1498984
1499849 1499849
1502642 1502642
1503174 1503174
1503545 1503545
1505129 1505129
1505573 1505573
1506984 1506984
1507313 1507313
1507399 1507399
1508280 1508280
1509119 1509119
1509175 1509175
1514908 1514908
1514931 1514931
1517266 1517266
1519135 1519135
1520061 1520061
1523032 1523032
1526627 1526627
1527732 1527732
1527744 1527744
1528309 1528309
1530137 1530137
1530195 1530195
1530506 1530506
1530800 1530800
1532729 1532729
1534391 1534391
1535134 1535134
1538766 1538766
1539302 1539302
1539384 1539384
1539813 1539813
1541956 1541956
1543233 1543233
1543952 1543952
1545398 1545398
1545690 1545690
1546022 1546022
1550361 1550361
1552778 1552778
1561103 1561103
1561401 1561401
1561517 1561517
1564026 1564026
1564141 1564141
1566312 1566312
1566416 1566416
1568293 1568293
1571045 1571045
1571235 1571235
1572110 1572110
1573793 1573793
1574122 1574122
1580306 1580306
1580970 1580970
1581386 1581386
1582659 1582659
1583159 1583159
1584510 1584510
1585369 1585369
1586202 1586202
1586608 1586608
1588751 1588751
1588815 1588815
1591394 1591394
1591592 1591592
1591855 1591855
1591861 1591861
1592095 1592095
1592400 1592400
1593256 1593256
1593520 1593520
1593915 1593915
1595751 1595751
1597598 1597598
1598079 1598079
1598411 1598411
1599318 1599318
1600024 1600024
1600398 1600398
1601054 1601054
1601200 1601200
1602317 1602317
1603799 1603799
1605753 1605753
1605804 1605804
1607617 1607617
1607672 1607672
1608253 1608253
1609042 1609042
1609314 1609314
1609512 1609512
1612334 1612334
1613072 1613072
1614963 1614963
1615021 1615021
1615296 1615296
1615426 1615426
1616342 1616342
1616410 1616410
1618125 1618125
1618446 1618446
1619248 1619248
1620480 1620480
1622949 1622949
1626550 1626550
1628852 1628852
1630989 1630989
1631158 1631158
1634373 1634373
1635312 1635312
1637615 1637615
1638211 1638211
1640486 1640486
1642363 1642363
1646538 1646538
1649763 1649763
1650863 1650863
1651531 1651531
1652524 1652524
1655065 1655065
1655172 1655172
1655403 1655403
1655794 1655794
1657635 1657635
1658029 1658029
1658627 1658627
1659024 1659024
1660327 1660327
1660724 1660724
1661036 1661036
1663370 1663370
1664716 1664716
1665614 1665614
1665942 1665942
1666750 1666750
1667494 1667494
1669007 1669007
1669195 1669195
1670730 1670730
1676090 1676090
1680223 1680223
1681631 1681631
1682998 1682998
1684450 1684450
1684848 1684848
1688553 1688553
1693322 1693322
1693615 1693615
1693814 1693814
1696801 1696801
1701056 1701056
1702265 1702265
1703863 1703863
1704107 1704107
1705346 1705346
1706012 1706012
1706987 1706987
1707619 1707619
1707845 1707845
1710242 1710242
1710386 1710386
1711440 1711440
1714221 1714221
1714581 1714581
1715057 1715057
1715639 1715639
1715900 1715900
1716303 1716303
1716980 1716980
1717341 1717341
1718806 1718806
1720911 1720911
1721363 1721363
1725914 1725914
1730311 1730311
1730589 1730589
1739733 1739733
1739925 1739925
1741368 1741368
1743115 1743115
1743404 1743404
1745030 1745030
1746167 1746167
1748974 1748974
1751562 1751562
1752946 1752946
1754292 1754292
1754686 1754686
